dyad,statelno,statelab,statehno,statehab,conttype,begin,end,notes,version
2020,2,"USA",20,"CAN",1,192001,200612,"Begins with CAN system entry",3.1
2031,2,"USA",31,"BHM",4,197307,200612,"Across Atlantic Ocean (closest=Florida-Bimini); begins with BHM system entry",3.1
2040,2,"USA",40,"CUB",4,190205,190609,"Across Florida Straits (closest=Key West); begins with CUB system entry; ends with USA occupation of CUB",3.1
2040,2,"USA",40,"CUB",4,190901,200612,"Across Florida Straits (closest=Key West); resumes after USA occupation of CUB ends",3.1
2070,2,"USA",70,"MEX",1,183101,200612,"Begins with MEX system entry",3.1
2365,2,"USA",365,"USR",2,195901,200612,"Across Bering Strait (closest=Alaska-Siberia); becomes interstate border with Alaskan statehood",3.1
31040,31,"BHM",40,"CUB",4,197307,200612,"Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry",3.1
31041,31,"BHM",41,"HAI",4,197307,200612,"Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry",3.1
31042,31,"BHM",42,"DOM",4,197307,200612,"Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry",3.1
31051,31,"BHM",51,"JAM",5,197307,200612,"Across Windward Passage (closest=Great Inagua); begins with BHM system entry",3.1
40041,40,"CUB",41,"HAI",4,190205,190609,"Across Windward Passage; begins with CUB system entry; ends with USA occupation of CUB",3.1
40041,40,"CUB",41,"HAI",4,190901,191507,"Across Windward Passage; resumes after USA occupation of CUB ends; ends with USA occupation of HAI",3.1
40041,40,"CUB",41,"HAI",4,193408,200612,"Across Windward Passage; resumes after USA occupation of HAI ends",3.1
40042,40,"CUB",42,"DOM",5,190205,190609,"Across Windward Passage (closest=Great Inagua); begins with CUB system entry; ends with USA occupation of CUB",3.1
40042,40,"CUB",42,"DOM",5,190901,191611,"Across Windward Passage; resumes after USA occupation of CUB ends; ends with USA occupation of DOM",3.1
40042,40,"CUB",42,"DOM",5,192409,200612,"Across Windward Passage; resumes after USA occupation of DOM ends",3.1
40051,40,"CUB",51,"JAM",4,196208,200612,"Across Caribbean Sea; begins with JAM system entry",3.1
40070,40,"CUB",70,"MEX",4,190205,190609,"Across Yucatan Channel; begins with CUB system entry; ends with USA occupation of CUB",3.1
40070,40,"CUB",70,"MEX",4,190901,200612,"Across Yucatan Channel; resumes after USA occupation of CUB ends",3.1
40080,40,"CUB",80,"BLZ",5,198109,200612,"Across Caribbean Sea; begins with BLZ system entry",3.1
40091,40,"CUB",91,"HON",5,190205,190609,"Across Caribbean Sea; begins with CUB system entry; ends with USA occupation of CUB",3.1
40091,40,"CUB",91,"HON",5,190901,200612,"Across Caribbean Sea; resumes after USA occupation of CUB ends",3.1
41042,41,"HAI",42,"DOM",1,189401,191507,"Begins with DOM system entry; ends with USA occupation of HAI",3.1
41042,41,"HAI",42,"DOM",1,193408,200612,"Resumes after USA occupation of HAI ends",3.1
41051,41,"HAI",51,"JAM",4,196208,200612,"Across Jamaica Channel; begins with JAM system entry",3.1
41100,41,"HAI",100,"COL",5,185901,191507,"Across Caribbean Sea; begins with HAI system entry; ends with USA occupation of HAI",3.1
41100,41,"HAI",100,"COL",5,193408,200612,"Across Caribbean Sea; resumes after USA occupation of HAI ends",3.1
42051,42,"DOM",51,"JAM",5,196208,200612,"Across Jamaica Channel/Caribbean Sea; begins with JAM system entry",3.1
42060,42,"DOM",60,"SKN",5,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
42100,42,"DOM",100,"COL",5,189401,191611,"Across Caribbean Sea; begins with DOM system entry; ends with USA occupation of DOM",3.1
42100,42,"DOM",100,"COL",5,192409,200612,"Across Caribbean Sea; resumes after USA occupation of DOM ends",3.1
42101,42,"DOM",101,"VEN",5,189401,191611,"Across Caribbean Sea; begins with DOM system entry; ends with USA occupation of DOM",3.1
42101,42,"DOM",101,"VEN",5,192409,200612,"Across Caribbean Sea; resumes after USA occupation of DOM ends",3.1
51091,51,"JAM",91,"HON",5,196208,200612,"Across Caribbean Sea; begins with JAM system entry",3.1
51093,51,"JAM",93,"NIC",5,196208,200612,"Across Caribbean Sea; begins with JAM system entry",3.1
51100,51,"JAM",100,"COL",5,196208,200612,"Across Caribbean Sea; begins with JAM system entry",3.1
52053,52,"TRI",53,"BAR",4,196611,200612,"Across Atlantic Ocean; begins with BAR system entry",3.1
52055,52,"TRI",55,"GRN",4,197402,200612,"Across Caribbean Sea; begins with GRN system entry",3.1
52056,52,"TRI",56,"SLU",5,197902,200612,"Across Caribbean Sea; begins with SLU system entry",3.1
52057,52,"TRI",57,"SVG",4,197910,200612,"Across Caribbean Sea; begins with SVG system entry",3.1
52101,52,"TRI",101,"VEN",3,196208,200612,"Across Gulf of Paria; begins with TRI system entry",3.1
52110,52,"TRI",110,"GUY",4,196605,200612,"Across Atlantic Ocean; begins with GUY system entry",3.1
52115,52,"TRI",115,"SUR",5,197511,200612,"Across Atlantic Ocean; begins with SUR system entry",3.1
53054,53,"BAR",54,"DMA",5,197811,200612,"Across Atlantic Ocean; begins with DMA system entry",3.1
53055,53,"BAR",55,"GRN",4,197402,200612,"Across Atlantic Ocean; begins with GRN system entry",3.1
53056,53,"BAR",56,"SLU",4,197902,200612,"Across Atlantic Ocean; begins with SLU system entry",3.1
53057,53,"BAR",57,"SVG",4,197910,200612,"Across Atlantic Ocean; begins with SVG system entry",3.1
53058,53,"BAR",58,"AAB",5,198111,200612,"Across Atlantic Ocean; begins with AAB system entry",3.1
53101,53,"BAR",101,"VEN",5,196611,200612,"Across Caribbean Sea/Atlantic Ocean; begins with BAR system entry",3.1
53110,53,"BAR",110,"GUY",5,196611,200612,"Across Atlantic Ocean; begins with BAR system entry",3.1
54055,54,"DMA",55,"GRN",5,197811,200612,"Across Caribbean Sea; begins with DMA system entry",3.1
54056,54,"DMA",56,"SLU",4,197902,200612,"Across Caribbean Sea; begins with SLU system entry",3.1
54057,54,"DMA",57,"SVG",5,197910,200612,"Across Caribbean Sea; begins with SVG system entry",3.1
54060,54,"DMA",60,"SKN",5,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
54101,54,"DMA",101,"VEN",4,197811,200612,"Across Caribbean Sea; begins with DMA system entry",3.1
55057,55,"GRN",57,"SVG",2,197910,200612,"Across Caribbean Sea; begins with SVG system entry",3.1
55058,55,"GRN",58,"AAB",5,198111,200612,"Across Caribbean Sea; begins with AAB system entry",3.1
55060,55,"GRN",60,"SKN",5,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
55101,55,"GRN",101,"VEN",4,197402,200612,"Across Caribbean Sea; begins with GRN system entry",3.1
55110,55,"GRN",110,"GUY",5,197402,200612,"Across Atlantic Ocean; begins with GRN system entry",3.1
56057,56,"SLU",57,"SVG",3,197910,200612,"Across Caribbean Sea; begins with SVG system entry",3.1
56058,56,"SLU",58,"AAB",5,198111,200612,"Across Caribbean Sea; begins with AAB system entry",3.1
56060,56,"SLU",60,"SKN",5,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
56101,56,"SLU",101,"VEN",5,197902,200612,"Across Caribbean Sea; begins with SLU system entry",3.1
56110,56,"SLU",110,"GUY",5,197902,200612,"Across Atlantic Ocean; begins with SLU system entry",3.1
57058,57,"SVG",58,"AAB",5,198111,200612,"Across Caribbean Sea; begins with AAB system entry",3.1
57060,57,"SVG",60,"SKN",5,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
57101,57,"SVG",101,"VEN",4,197910,200612,"Across Caribbean Sea; begins with SVG system entry",3.1
57110,57,"SVG",110,"GUY",5,197910,200612,"Across Atlantic Ocean; begins with SVG system entry",3.1
58060,58,"AAB",60,"SKN",3,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
58101,58,"AAB",101,"VEN",4,198111,200612,"Across Caribbean Sea; begins with AAB system entry",3.1
60101,60,"SKN",101,"VEN",4,198309,200612,"Across Caribbean Sea; begins with SKN system entry",3.1
70080,70,"MEX",80,"BLZ",1,198109,200612,"Begins with BLZ system entry",3.1
70090,70,"MEX",90,"GUA",1,186801,200612,"Begins with GUA system entry",3.1
70091,70,"MEX",91,"HON",5,189901,200612,"Across Caribbean Sea; begins with HON system entry",3.1
80090,80,"BLZ",90,"GUA",1,198109,200612,"Begins with BLZ system entry",3.1
80091,80,"BLZ",91,"HON",4,198109,200612,"Across Gulf of Honduras; begins with BLZ system entry",3.1
90091,90,"GUA",91,"HON",1,189901,200612,"Begins with HON system entry",3.1
90092,90,"GUA",92,"SAL",1,187501,200612,"Begins with SAL system entry",3.1
90093,90,"GUA",93,"NIC",5,190001,200612,"Across edge of Pacific Ocean; begins with NIC system entry",3.1
90094,90,"GUA",94,"COS",5,192001,200612,"Across edge of Pacific Ocean; begins with COS system entry",3.1
91092,91,"HON",92,"SAL",1,189901,200612,"Begins with HON system entry",3.1
91093,91,"HON",93,"NIC",1,190001,200612,"Begins with NIC system entry",3.1
92093,92,"SAL",93,"NIC",3,190001,200612,"Across Gulf of Fonseca; begins with NIC system entry",3.1
92094,92,"SAL",94,"COS",5,192001,200612,"Across edge of Pacific Ocean; begins with COS system entry",3.1
93094,93,"NIC",94,"COS",1,192001,200612,"Begins with COS system entry",3.1
93095,93,"NIC",95,"PAN",5,192001,200612,"Across Caribbean Sea; begins with PAN system entry",3.1
93100,93,"NIC",100,"COL",5,190001,190311,"Across Caribbean Sea; begins with NIC system entry; ends with PAN secession from COL",3.1
93100,93,"NIC",100,"COL",4,192803,200612,"Across Caribbean Sea; begins when San Andres & Providencia islands join COL",3.1
94095,94,"COS",95,"PAN",1,192001,200612,"Begins with COS and PAN system entry",3.1
94100,94,"COS",100,"COL",4,192803,200612,"Across Caribbean Sea; begins when San Andres & Providencia islands join COL",3.1
95100,95,"PAN",100,"COL",1,192001,200612,"Begins with PAN system entry",3.1
100101,100,"COL",101,"VEN",1,184101,200612,"Begins with VEN system entry",3.1
100130,100,"COL",130,"ECU",1,185401,200612,"Begins with ECU system entry",3.1
100135,100,"COL",135,"PER",1,191607,200612,"Begins with ECU-COL treaty that cedes ECU territory along PER to COL",3.1
100140,100,"COL",140,"BRA",1,183101,200612,"Begins with COL system entry",3.1
101110,101,"VEN",110,"GUY",1,196605,200612,"Begins with GUY system entry",3.1
101140,101,"VEN",140,"BRA",1,184101,200612,"Begins with VEN system entry",3.1
110115,110,"GUY",115,"SUR",1,197511,200612,"Begins with SUR system entry",3.1
110140,110,"GUY",140,"BRA",1,196605,200612,"Begins with GUY system entry",3.1
115140,115,"SUR",140,"BRA",1,197511,200612,"Begins with SUR system entry",3.1
130135,130,"ECU",135,"PER",1,185401,200612,"Begins with ECU system entry",3.1
130140,130,"ECU",140,"BRA",1,185401,191607,"Begins with ECU system entry; ends with ECU-COL treaty that cedes ECU territory along BRA to COL",3.1
135140,135,"PER",140,"BRA",1,183901,200612,"Begins with PER system entry",3.1
135145,135,"PER",145,"BOL",1,184801,200612,"Begins with BOL system entry",3.1
135155,135,"PER",155,"CHL",1,188310,200612,"Begins after BOL loses seacoast to CHL in War of the Pacific",3.1
140145,140,"BRA",145,"BOL",1,184801,200612,"Begins with BOL system entry",3.1
140150,140,"BRA",150,"PAR",1,184601,187006,"Begins with PAR system entry; ends with BRA/ARG occupation of PAR",3.1
140150,140,"BRA",150,"PAR",1,187601,200612,"Resumes after BRA/ARG occupation of PAR ends",3.1
140160,140,"BRA",160,"ARG",1,184101,200612,"Begins with ARG system entry (ARG territory between URU and PAR bordered BRA)",3.1
140165,140,"BRA",165,"URU",1,188201,200612,"Begins with URU system entry",3.1
145150,145,"BOL",150,"PAR",1,184801,187006,"Begins with PAR system entry; ends with BRA/ARG occupation of PAR",3.1
145150,145,"BOL",150,"PAR",1,187606,200612,"Resumes after BRA/ARG occupation of PAR ends",3.1
145155,145,"BOL",155,"CHL",1,184801,200612,"Begins with BOL system entry",3.1
145160,145,"BOL",160,"ARG",1,184801,200612,"Begins with BOL system entry",3.1
150160,150,"PAR",160,"ARG",1,184601,187006,"Begins with PAR system entry; ends with BRA/ARG occupation of PAR",3.1
150160,150,"PAR",160,"ARG",1,187606,200612,"Resumes after BRA/ARG occupation of PAR ends",3.1
155160,155,"CHL",160,"ARG",1,184101,200612,"Begins with ARG system entry",3.1
160165,160,"ARG",165,"URU",1,188201,200612,"Begins with URU system entry",3.1
200205,200,"UKG",205,"IRE",1,192212,200612,"Begins with IRE system entry",3.1
200210,200,"UKG",210,"NTH",4,181601,194007,"Across North Sea; ends with GMY occupation of NTH",3.1
200210,200,"UKG",210,"NTH",4,194506,200612,"Across North Sea; resumes after GMY occupation of NTH ends",3.1
200211,200,"UKG",211,"BEL",4,183012,194005,"Across North Sea; begins with BEL system entry; ends with GMY occupation of BEL",3.1
200211,200,"UKG",211,"BEL",4,194506,200612,"Across North Sea; resumes after GMY occupation of BEL ends",3.1
200220,200,"UKG",220,"FRN",3,181601,194006,"Across English Channel; ends with GMY occupation of northern France",3.1
